duration,packets_in,packets_out,bytes_in,bytes_out,avg_packet_size,packet_rate,byte_rate,label
0.2381,77,185,7989.06,131223.32,531.34,1100.25,584611.64,0
71.0993,179,84,158868.69,25679.37,701.7,3.7,2595.64,0
249.4342,420,106,174261.96,52654.61,431.4,2.11,909.73,0
236.6193,53,214,14370.16,74359.53,332.32,1.13,374.99,0
169.5565,46,474,64390.72,298074.19,697.05,3.07,2137.72,0
194.9458,262,431,157035.5,321740.99,690.88,3.55,2455.95,0
296.805,68,33,57130.54,21233.64,775.88,0.34,264.03,0
184.1123,32,216,14829.9,27447.33,170.47,1.35,229.63,0
191.0961,263,203,376015.43,19796.19,849.38,2.44,2071.27,0
268.7195,342,222,206928.85,121935.98,583.09,2.1,1223.82,0
249.4951,118,239,160863.29,80492.06,676.07,1.43,967.38,0
241.1245,414,203,508849.01,13208.37,846.12,2.56,2165.09,0
225.0164,440,461,335178.94,145903.55,533.94,4.0,2137.99,0
194.1417,456,233,526258.83,171294.89,1012.41,3.55,3593.01,0
149.4309,247,163,123186.67,88321.33,515.87,2.74,1415.42,0
292.168,65,142,6696.54,17354.78,116.19,0.71,82.32,0
46.7827,418,120,75396.09,29389.23,194.77,11.5,2239.83,0
181.3248,364,280,242558.32,128656.01,576.42,3.55,2047.23,0
0.4045,1,0,44.96,26.02,70.98,2.47,175.48,1
210.8159,348,206,201238.07,61250.38,473.81,2.63,1245.11,0
9.0947,9176,85,1099447.95,4147.02,119.17,1018.29,121345.46,1
178.0433,476,22,581876.24,15239.09,1199.03,2.8,3353.76,0
0.2702,1,0,57.72,25.54,83.26,3.7,308.12,1
72.2419,49,492,57266.28,166090.04,412.86,7.49,3091.79,0
11.8526,376,286,334149.54,66238.73,604.82,55.85,33780.61,0
268.6522,50,104,57817.8,60838.54,770.5,0.57,441.67,0
65.0,62,121,36705.4,16932.01,293.1,2.82,825.19,0
260.1916,38,424,38365.24,281714.51,692.81,1.78,1230.17,0
186.1712,313,436,161728.27,43119.56,273.5,4.02,1100.32,0
123.8825,496,114,510196.54,32336.23,889.4,4.92,4379.42,0
222.6964,5,491,3096.15,353922.73,719.8,2.23,1603.16,0
221.2485,127,418,158337.41,259249.91,766.22,2.46,1887.41,0
83.4659,121,369,19879.76,119272.97,283.99,5.87,1667.18,0
266.204,297,26,42581.56,10151.84,163.26,1.21,198.09,0
33.2018,363,246,284723.01,145317.1,706.14,18.34,12952.32,0
260.4069,349,391,473492.74,179727.59,882.73,2.84,2508.46,0
102.3325,18,322,11415.71,91195.33,301.8,3.32,1002.72,0
166.0997,13,124,16873.27,10082.92,196.76,0.82,162.29,0
40.8908,273,430,394414.65,148055.84,771.65,17.19,13266.33,0
122.57,235,9,140962.85,4190.87,594.89,1.99,1184.25,0
10.9328,458,63,410849.47,31536.36,849.11,47.65,40464.15,0
220.657,493,32,626169.44,19661.4,1230.15,2.38,2926.85,0
77.3388,87,73,13624.88,10351.29,149.85,2.07,310.01,0
276.9047,375,167,489048.75,70620.25,1032.6,1.96,2021.16,0
104.0333,293,243,236030.18,77986.73,585.85,5.15,3018.43,0
178.7583,64,421,27992.33,215905.79,502.88,2.71,1364.4,0
128.2149,263,395,36682.31,192039.78,347.6,5.13,1783.9,0
243.6171,460,473,122447.2,368089.98,525.76,3.83,2013.56,0
193.9364,219,218,171117.13,63050.98,535.85,2.25,1207.45,0
291.9474,157,116,151116.38,26683.81,651.28,0.94,609.01,0
118.6694,489,419,324336.31,189863.1,566.3,7.65,4333.04,0
100.4557,349,47,242803.02,15255.12,651.66,3.94,2568.87,0
133.9572,485,280,281850.38,187500.66,613.53,5.71,3503.74,0
179.9855,452,481,676794.38,366881.34,1118.62,5.18,5798.67,0
689.6653,775,314033,103228.72,407368469.79,1294.35,456.46,590825.29,1
256.564,255,199,144038.15,101180.58,540.13,1.77,955.78,0
55.6366,66,59,74902.34,15631.66,724.27,2.25,1627.24,0
1.3723,85,52,88809.29,39661.34,937.74,99.83,93614.49,0
87.423,145,97,157274.48,6807.74,678.03,2.77,1876.88,0
270.7473,46,231,60447.12,169396.37,829.76,1.02,848.92,0
0.0404,1,1,56.71,22.95,39.83,49.53,1972.7,1
32.8617,315,263,223704.53,29700.94,438.42,17.59,7711.27,0
144.2175,195,436,223568.25,155920.51,601.41,4.38,2631.36,0
185.7356,199,253,138662.08,179031.86,702.86,2.43,1710.46,0
243.2153,36,158,27111.95,26564.37,276.68,0.8,220.69,0
204.6804,493,487,143772.49,30262.07,177.59,4.79,850.27,0
142.7684,378,58,318568.66,40862.66,824.38,3.05,2517.58,0
37.1697,267,278,388623.05,201237.78,1082.31,14.66,15869.39,0
144.5914,106,76,155592.44,47743.02,1117.23,1.26,1406.28,0
286.6559,384,116,395337.66,86411.87,963.5,1.74,1680.58,0
181.8374,295,115,433300.38,69307.8,1225.87,2.25,2764.05,0
184.3517,204,356,216945.77,123280.81,607.55,3.04,1845.53,0
242.3694,370,350,490311.45,45272.07,743.87,2.97,2209.78,0
96.6551,45,47,50466.46,37554.33,956.75,0.95,910.67,0
57.5126,420,404,142893.54,107705.44,304.12,14.33,4357.29,0
