src_ip,dst_ip,src_port,dst_port,protocol,duration,packets_in,packets_out,bytes_in,bytes_out,avg_packet_size,packet_rate,byte_rate,label
142.251.221.174,10.0.251.47,443,7408,TCP,15.4146,2,2,108,187,73.75,1912.96,141080.82,0
10.0.251.47,151.101.65.229,48007,443,TCP,14.4451,2,4,120,279,66.5,110.68,7360.54,0
10.0.251.47,20.50.88.234,61983,443,TCP,39.9458,25,25,1632,1396,60.56,2.25,136.06,0
10.0.251.47,57.144.169.32,47452,443,TCP,32.3926,3,3,219,163,63.67,0.3,19.39,0
10.0.251.47,8.8.8.8,8644,53,TCP,14.1633,5,6,359,370,66.27,141.9,9404.15,0
10.0.251.47,8.8.8.8,38376,53,TCP,14.1631,5,6,468,370,76.18,137.7,10490.34,0
10.0.251.47,172.1.46.72,57033,7680,TCP,11.6128,3,5,186,357,67.88,103.2,7004.73,0
10.0.251.47,193.84.4.4,43034,53,TCP,11.1133,5,5,422,312,73.4,54.37,3990.52,0
10.0.251.47,193.84.4.4,12449,53,TCP,11.113,5,6,382,366,68.0,59.8,4066.1,0
10.0.251.47,193.84.4.4,28625,53,TCP,11.1088,5,6,422,366,71.64,61.22,4385.43,0
10.0.251.47,193.84.4.4,7151,53,TCP,11.1086,5,6,382,366,68.0,61.33,4170.57,0
10.0.251.47,193.84.4.4,32613,53,TCP,11.1077,5,6,438,390,75.27,54.04,4068.06,0
10.0.251.47,193.84.4.4,54403,53,TCP,11.1076,5,6,554,390,85.82,61.72,5296.97,0
10.0.251.47,193.84.4.4,34522,53,TCP,11.1073,4,6,246,368,61.4,37.99,2332.31,0
10.0.251.47,193.84.4.4,57323,53,TCP,11.1072,5,6,412,368,70.91,61.83,4384.24,0
10.0.251.47,193.84.4.4,53370,53,TCP,11.0984,5,6,373,370,67.55,65.07,4395.15,0
10.0.251.47,193.84.4.4,43007,53,TCP,11.0982,5,6,574,370,85.82,65.01,5578.9,0
10.0.251.47,193.84.4.4,12178,53,TCP,11.0923,5,6,419,375,72.18,67.44,4868.03,0
10.0.251.47,193.84.4.4,16300,53,TCP,11.0921,5,6,374,375,68.09,67.52,4597.66,0
10.0.251.47,193.84.4.4,43345,53,TCP,11.0368,4,6,246,369,61.5,33.0,2029.29,0
10.0.251.47,193.84.4.4,38424,53,TCP,11.0365,5,6,494,369,78.45,37.55,2945.64,0
10.0.251.47,193.84.4.4,41471,53,TCP,11.0353,5,6,448,372,74.55,103.73,7732.35,0
10.0.251.47,193.84.4.4,11818,53,TCP,11.0351,5,6,368,372,67.27,96.91,6519.08,0
10.0.251.47,193.84.4.4,27240,53,TCP,11.025,4,6,246,377,62.3,87.99,5481.55,0
10.0.251.47,193.84.4.4,49059,53,TCP,11.0246,6,6,438,377,67.92,125.57,8528.05,0
10.0.251.47,193.84.4.4,29091,53,TCP,10.9611,5,6,432,372,73.09,93.98,6868.8,0
10.0.251.47,193.84.4.4,30935,53,TCP,10.9607,4,6,252,382,63.4,62.33,3951.53,0
10.0.251.47,193.84.4.4,12911,53,TCP,10.9606,5,6,982,382,124.0,79.02,9798.08,0
